row_index	theme	theme_name	level	question	answer
1	1	forskningsdesign	E	Vad är en hypotes?	Ett testbart påstående om ett förväntat samband mellan variabler.
2	1	forskningsdesign	E	Vad är skillnaden mellan oberoende och beroende variabel?	Den oberoende variabeln antas påverka den beroende variabeln som är utfallet man vill förklara.
3	1	forskningsdesign	E	Vad menas med kausalitet?	Att en faktor faktiskt påverkar en annan faktor och bidrar till att skapa ett utfall.
4	1	forskningsdesign	E	Vad är ett experiment?	En design där forskaren manipulerar en oberoende variabel för att studera dess effekt.
5	1	forskningsdesign	E	Vad är en kontrollgrupp?	En grupp som inte får behandlingen och används som jämförelse.
6	1	forskningsdesign	E	Vad är en confounder eller störfaktor?	En tredje variabel som påverkar både den oberoende och den beroende variabeln och därmed kan snedvrida sambandet.
7	1	forskningsdesign	C	Motivera varför din design möjliggör eller inte möjliggör kausala slutsatser.	Kausala slutsatser kräver kontroll över alternativa förklaringar till exempel genom experiment eller statistisk kontroll.
8	1	forskningsdesign	C	Hur relaterar regression till orsaksanalys?	Regression visar samband mellan variabler men ger inte automatiskt kausala slutsatser utan en lämplig forskningsdesign.
9	1	forskningsdesign	C	Hur hanterar du confounding variables?	Genom randomisering, kontrollvariabler, matchning eller annan statistisk kontroll.
10	1	forskningsdesign	C	Hur säkerställs intern validitet i experiment?	Genom randomisering, kontrollgrupper och standardiserade procedurer.
11	1	forskningsdesign	C	Hur kan en experimentell manipulation ifrågasättas?	Om manipulationen inte påverkar deltagarna som avsett eller upplevs orealistisk.
12	1	forskningsdesign	C	Vilken roll har tidsordning i kausal analys?	Orsaken måste komma före effekten för att ett kausalt påstående ska vara trovärdigt.
13	1	forskningsdesign	C	Varför räcker inte korrelation för att visa orsak?	För att sambandet kan bero på slump, omvänd kausalitet eller en tredje variabel.
14	1	forskningsdesign	A	Diskutera kausalitet i relation till din design och alternativa designval.	Kausalitet kräver tidsordning och kontroll över alternativa förklaringar och kan stärkas genom experimentella eller kvasi-experimentella designer.
15	1	forskningsdesign	A	Hur kan experimentell design skapa artificiella effekter?	Laboratoriemiljöer kan påverka beteende så att resultaten inte speglar verkliga situationer.
16	1	forskningsdesign	A	Hur relaterar din analys till orsaksanalysens logik?	Analysen undersöker om förändringar i en oberoende variabel systematiskt hänger ihop med förändringar i utfallet.
17	1	forskningsdesign	A	Hur kan du försvara din design inför en kvalitativ forskare?	Genom att visa att designen möjliggör systematisk hypotesprövning och generalisering.
18	1	forskningsdesign	A	Hur kan du kombinera kvalitativ och kvantitativ design?	Genom mixed methods där kvalitativa data ger djup och kvantitativa data ger generaliserbarhet.
19	1	forskningsdesign	A	När är en kvasi-experimentell design ett rimligt alternativ?	När randomisering inte är möjlig men man ändå kan utnyttja naturliga variationer eller policyförändringar för att stärka kausala slutsatser.
20	1	forskningsdesign	A	Hur kan omvänd kausalitet prövas eller diskuteras?	Genom att analysera tidsordning, använda longitudinella data eller diskutera alternativa mekanismer där utfallet kan påverka orsaken.
21	2	operationalisering	E	Vad är operationalisering?	Att göra ett abstrakt begrepp mätbart genom indikatorer eller variabler.
22	2	operationalisering	E	Vad är en Likertskala?	En skala där respondenter anger graden av instämmande i ett påstående.
23	2	operationalisering	E	Vad är en nominalskala?	En kategorisk variabel utan rangordning till exempel land eller kön.
24	2	operationalisering	E	Vad är en ordinalskala?	En variabel med rangordning men utan lika avstånd mellan nivåerna.
25	2	operationalisering	E	Vad är en indikator?	Ett observerbart mått som används för att representera ett teoretiskt begrepp.
26	2	operationalisering	E	Vad är en intervallskala?	En skala där avstånden mellan värden kan tolkas som lika stora men där nollpunkten inte nödvändigtvis är absolut.
27	2	operationalisering	C	Hur har du operationaliserat ditt teoretiska fenomen?	Genom att välja indikatorer som representerar begreppet och mäta dem empiriskt.
28	2	operationalisering	C	Hur påverkar operationalisering tolkningen?	Olika operationaliseringar kan ge olika resultat och därmed olika tolkningar.
29	2	operationalisering	C	Hur påverkar operationalisering generaliserbarhet?	Om måttet inte fångar begreppet korrekt kan resultaten bli svåra att generalisera.
30	2	operationalisering	C	Hur påverkar skalnivå val av analys?	Skalnivån avgör vilka statistiska metoder som kan användas.
31	2	operationalisering	C	Hur bedömer du om en indikator är rimlig?	Genom att pröva om den ligger nära teorin och fångar den aspekt av begreppet som är central för studien.
32	2	operationalisering	C	Varför används flera indikatorer för samma begrepp?	För att komplexa begrepp ofta fångas bättre och mer stabilt med flera mått än med ett enda.
33	2	operationalisering	C	Hur skiljer sig direkt och indirekt mätning?	Direct mätning registrerar fenomenet direkt medan indirekt mätning använder proxyvariabler eller indikatorer.
34	2	operationalisering	A	Hur påverkar ontologiska antaganden operationalisering?	Synen på vad som existerar påverkar hur begrepp definieras och mäts.
35	2	operationalisering	A	Diskutera sambandet mellan teori och variabelkonstruktion.	Teorin avgör vilka variabler som behövs och hur de ska operationaliseras.
36	2	operationalisering	A	Hur skulle resultaten förändras vid annan operationalisering?	Olika indikatorer kan mäta olika aspekter och därmed ge andra resultat.
37	2	operationalisering	A	Hur kan operationalisering skapa systematiska bias?	Om måttet systematiskt över- eller underskattar fenomenet.
38	2	operationalisering	A	Hur kan val av cut-off-värden påverka resultatet?	Olika gränsvärden kan flytta observationer mellan kategorier och därmed förändra tolkningen av sambanden.
39	2	operationalisering	A	När kan standardiserade mått vara olämpliga?	När begreppet är starkt kontextbundet eller när standardmåttet inte passar populationen som studeras.
40	2	operationalisering	A	Hur kan kulturell kontext påverka jämförbarheten i ett mått?	Samma indikator kan tolkas olika i olika sammanhang vilket försvårar jämförelser mellan grupper eller länder.
41	3	validitet_reliabilitet	E	Vad är reliabilitet?	Om en mätning ger samma resultat vid upprepade mätningar.
42	3	validitet_reliabilitet	E	Vad är validitet?	Om ett mått verkligen mäter det som det avser att mäta.
43	3	validitet_reliabilitet	E	Vad är intern validitet?	Hur väl studien visar att ett samband är kausalt.
44	3	validitet_reliabilitet	E	Vad är extern validitet?	Hur väl resultaten kan generaliseras till andra sammanhang.
45	3	validitet_reliabilitet	E	Vad är ett mätfel?	En skillnad mellan det sanna värdet och det värde som faktiskt registreras.
46	3	validitet_reliabilitet	E	Vad är begreppsvaliditet?	Hur väl ett mått fångar det teoretiska begrepp som det ska representera.
47	3	validitet_reliabilitet	E	Vad menas med test-retest-reliabilitet?	Att samma mätning ger liknande resultat när den upprepas vid två olika tidpunkter.
48	3	validitet_reliabilitet	C	Hur säkerställer du begreppsvaliditet?	Genom etablerade mått och genom att testa om indikatorerna verkligen mäter begreppet.
49	3	validitet_reliabilitet	C	Hur kan mätfel uppstå?	Genom otydliga frågor, missförstånd eller tekniska problem.
50	3	validitet_reliabilitet	C	Hur kan man stärka reliabiliteten?	Genom standardiserad datainsamling och tydliga frågor.
51	3	validitet_reliabilitet	C	Hur kan pilotstudier stärka validitet och reliabilitet?	Genom att upptäcka otydligheter, tekniska problem och svaga indikatorer innan huvudinsamlingen startar.
52	3	validitet_reliabilitet	C	Vad är skillnaden mellan slumpmässiga och systematiska mätfel?	Slumpmässiga fel varierar osystematiskt medan systematiska fel snedvrider resultaten i en bestämd riktning.
53	3	validitet_reliabilitet	C	Hur kan intervjuareffekter påverka reliabiliteten?	Olika intervjuare kan formulera frågor eller reagera olika vilket gör att svaren blir mindre jämförbara.
54	3	validitet_reliabilitet	A	Identifiera och analysera den största validitetsrisken i din studie.	Till exempel selektionsbias eller mätfel som kan snedvrida resultaten.
55	3	validitet_reliabilitet	A	Hur kan intern och extern validitet stå i konflikt?	Strikt kontroll ökar intern validitet men kan minska realism och generaliserbarhet.
56	3	validitet_reliabilitet	A	Diskutera reliabilitetens begränsningar.	Ett mått kan vara konsekvent men ändå mäta fel sak.
57	3	validitet_reliabilitet	A	Hur kan begreppsvaliditet testas empiriskt?	Genom faktoranalyser eller jämförelser med andra etablerade mått.
58	3	validitet_reliabilitet	A	Hur kan triangulering stärka validiteten?	Genom att flera datakällor eller metoder används för att undersöka samma fenomen från olika håll.
